,category,id,item_nm,item_price,url,img_url
0,table,804716,시니컬W 1200 강화 유리 거실 원형 소파 테이블,"149,900원",https://ohou.se/productions/804716/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/15650448078148_7Ru4v.jpg?gif=1&w=480&h=480&c=c
1,table,345801,플랫 리빙 타원형 거실테이블 1200 (낮은형),"109,900원",https://ohou.se/productions/345801/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159098779060374913.jpg?gif=1&w=480&h=480&c=c
2,table,477136,그랑데 거실테이블 1200 접이식 쇼파테이블 타원형(보호캡증정) 4colors,"59,900원",https://ohou.se/productions/477136/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162184136534959606.jpg?gif=1&w=480&h=480&c=c
3,table,338734,까사 원목 접이식 거실테이블 8종,"42,900원",https://ohou.se/productions/338734/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160629171992481415.jpg?gif=1&w=480&h=480&c=c
4,table,681454,[리퍼] 라이징 리프트테이블,"49,900원",https://ohou.se/productions/681454/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1612334311_102369_1.jpg?gif=1&w=480&h=480&c=c
5,table,804717,시니컬T 1200 강화 유리 타원형 거실 쇼파 테이블,"179,900원",https://ohou.se/productions/804717/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162884405670576270.jpg?gif=1&w=480&h=480&c=c
6,table,419079,자이언트 1100 리프트업 테이블 거실장 거실테이블,"61,900원",https://ohou.se/productions/419079/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1595395944_101176_1.jpg?gif=1&w=480&h=480&c=c
7,table,69047,오키 다용도 접이식 보조테이블 3colors,"36,900원",https://ohou.se/productions/69047/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/157233317070597151.jpg?gif=1&w=480&h=480&c=c
8,table,747964,미떼 거실 테이블 1200 (낮은형) 2colors,"129,900원",https://ohou.se/productions/747964/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/161596386985156353.jpg?gif=1&w=480&h=480&c=c
9,table,902574,[7%쿠폰] 한샘몰pick 홈앤하우스 브레드 접이식 원목 테이블,"38,900원",https://ohou.se/productions/902574/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162504059711103167.jpg?gif=1&w=480&h=480&c=c
10,table,910467,무니 리프트업 테이블,"184,000원",https://ohou.se/productions/910467/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162554647536732369.webp?gif=1&w=480&h=480&c=c
